,jurisdiction,week,first_dose,second_dose
0,Connecticut,2021-03-08,35800,35800
1,Maine,2021-03-08,13700,13700
2,Massachusetts,2021-03-08,69000,69000
3,New Hampshire,2021-03-08,13700,13700
4,Rhode Island,2021-03-08,10800,10800
5,Vermont,2021-03-08,6500,6500
6,New Jersey,2021-03-08,87400,87400
7,New York,2021-03-08,111300,111300
8,New York City,2021-03-08,84500,84500
9,Puerto Rico,2021-03-08,34200,34200
10,U.S. Virgin Islands,2021-03-08,1100,1100
11,Delaware,2021-03-08,9500,9500
12,District of Columbia,2021-03-08,7200,7200
13,Maryland,2021-03-08,59000,59000
14,Pennsylvania,2021-03-08,112400,112400
15,Philadelphia,2021-03-08,15600,15600
16,Virginia,2021-03-08,82800,82800
17,West Virginia,2021-03-08,18500,18500
18,Alabama,2021-03-08,47700,47700
19,Florida,2021-03-08,208000,208000
20,Georgia,2021-03-08,98600,98600
21,Kentucky,2021-03-08,43400,43400
22,Mississippi,2021-03-08,28700,28700
23,North Carolina,2021-03-08,99500,99500
24,South Carolina,2021-03-08,48800,48800
25,Tennessee,2021-03-08,65200,65200
26,Chicago,2021-03-08,26500,26500
27,Illinois,2021-03-08,98700,98700
28,Indiana,2021-03-08,64100,64100
29,Michigan,2021-03-08,98200,98200
30,Minnesota,2021-03-08,53800,53800
31,Ohio,2021-03-08,114100,114100
32,Wisconsin,2021-03-08,57100,57100
33,Arkansas,2021-03-08,28900,28900
34,Louisiana,2021-03-08,45000,45000
35,New Mexico,2021-03-08,20500,20500
36,Oklahoma,2021-03-08,37500,37500
37,Texas,2021-03-08,260400,260400
38,Iowa,2021-03-08,30400,30400
39,Kansas,2021-03-08,27800,27800
40,Missouri,2021-03-08,59500,59500
41,Nebraska,2021-03-08,18400,18400
42,Colorado,2021-03-08,54100,54100
43,Montana,2021-03-08,10400,10400
44,North Dakota,2021-03-08,7500,7500
45,South Dakota,2021-03-08,8300,8300
46,Utah,2021-03-08,27100,27100
47,Wyoming,2021-03-08,5700,5700
48,Arizona,2021-03-08,67600,67600
49,California,2021-03-08,380300,380300
50,Hawaii,2021-03-08,14200,14200
51,Nevada,2021-03-08,28500,28500
52,American Samoa,2021-03-08,0,0
53,Guam,2021-03-08,0,0
54,Marshall Islands,2021-03-08,0,0
55,Micronesia,2021-03-08,0,0
56,Mariana Islands,2021-03-08,0,0
