,jurisdiction,week,first_dose,second_dose
0,Connecticut,2021-03-15,49140,49140
1,Maine,2021-03-15,18720,18720
2,Massachusetts,2021-03-15,93600,93600
3,New Hampshire,2021-03-15,18720,18720
4,Rhode Island,2021-03-15,15210,15210
5,Vermont,2021-03-15,9360,9360
6,New Jersey,2021-03-15,119340,119340
7,New York,2021-03-15,150930,150930
8,New York City,2021-03-15,114660,114660
9,Puerto Rico,2021-03-15,46800,46800
10,U.S. Virgin Islands,2021-03-15,2340,2340
11,Delaware,2021-03-15,12870,12870
12,District of Columbia,2021-03-15,10530,10530
13,Maryland,2021-03-15,80730,80730
14,Pennsylvania,2021-03-15,153270,153270
15,Philadelphia,2021-03-15,22230,22230
16,Virginia,2021-03-15,112320,112320
17,West Virginia,2021-03-15,25740,25740
18,Alabama,2021-03-15,65520,65520
19,Florida,2021-03-15,281970,281970
20,Georgia,2021-03-15,134550,134550
21,Kentucky,2021-03-15,59670,59670
22,Mississippi,2021-03-15,39780,39780
23,North Carolina,2021-03-15,135720,135720
24,South Carolina,2021-03-15,66690,66690
25,Tennessee,2021-03-15,88920,88920
26,Chicago,2021-03-15,36270,36270
27,Illinois,2021-03-15,134550,134550
28,Indiana,2021-03-15,87750,87750
29,Michigan,2021-03-15,133380,133380
30,Minnesota,2021-03-15,73710,73710
31,Ohio,2021-03-15,155610,155610
32,Wisconsin,2021-03-15,78390,78390
33,Arkansas,2021-03-15,39780,39780
34,Louisiana,2021-03-15,62010,62010
35,New Mexico,2021-03-15,28080,28080
36,Oklahoma,2021-03-15,51480,51480
37,Texas,2021-03-15,353340,353340
38,Iowa,2021-03-15,42120,42120
39,Kansas,2021-03-15,38610,38610
40,Missouri,2021-03-15,80730,80730
41,Nebraska,2021-03-15,25740,25740
42,Colorado,2021-03-15,73710,73710
43,Montana,2021-03-15,14040,14040
44,North Dakota,2021-03-15,10530,10530
45,South Dakota,2021-03-15,11700,11700
46,Utah,2021-03-15,37440,37440
47,Wyoming,2021-03-15,8190,8190
48,Arizona,2021-03-15,92430,92430
49,California,2021-03-15,515970,515970
50,Hawaii,2021-03-15,19890,19890
51,Nevada,2021-03-15,38610,38610
52,American Samoa,2021-03-15,0,0
53,Guam,2021-03-15,0,0
54,Marshall Islands,2021-03-15,0,0
55,Micronesia,2021-03-15,0,0
56,Mariana Islands,2021-03-15,0,0
57,Palau,2021-03-15,0,0
58,Alaska,2021-03-15,0,0
59,Idaho,2021-03-15,22230,22230
60,Oregon,2021-03-15,56160,56160
61,Washington,2021-03-15,98280,98280
62,Federal Entities,2021-03-15,182520,182520
63,Connecticut,2021-03-08,45630,45630
64,Maine,2021-03-08,17550,17550
